Objekt_id;Objekt;Phasen_id;Phase;Phasendefinition;BBCH_Code;Hinweis BBCH;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
         129;Schwarzer Holunder                                                              ;        62;erste reife Früchte                     ;alle Früchte der am weitesten ausgereiften Trugdolde sind endgültig blauschwarz geworden                                                                                                                ;            86;Kennziffer wurde ergänzend definiert, sie entspricht den BBCH-Richtlinien (bitte bei Veröffentlichungen beachten)                                               ;eor;                                                                                                                                                                                                                                                                                 
         129;Schwarzer Holunder                                                              ;         5;Blüte Beginn                            ;an der am weitesten entwickelten Trugdolde ist etwa  die Hälfte der Einzelblüten völlig geöffnet                                                                                                        ;            60;definierter Beobachtungszeitpunkt der Phase könnte etwas später sein, hohe Übereinstimmung zwischen Phase und zugeordnetem BBCH-Mikrostadium                    ;eor;                                                                                                                                                                                                                                                                                 
         130;Sommer-Linde                                                                    ;         4;Blattentfaltung Beginn                  ;die ersten Blätter haben sich vollständig aus der Knospe herausgeschoben und bis zum Stiel entfaltet                                                                                                    ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         130;Sommer-Linde                                                                    ;         5;Blüte Beginn                            ;die ersten Einzelblüten an den Trugdolden haben sich vollständig geöffnet und strömen einen starken Duft aus                                                                                            ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         131;Spitz-Ahorn                                                                     ;         5;Blüte Beginn                            ;die ersten Blüten der doldenförmigen Blütenstände sind völlig aufgeblüht, so dass man die freistehenden Staubgefäße gut erkennen kann                                                                   ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         132;Stiel-Eiche                                                                     ;         5;Blüte Beginn                            ;die Blüten haben sich geöffnet und geben Blütenstaub ab                                                                                                                                                 ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         132;Stiel-Eiche                                                                     ;         9;Johannistrieb                           ;zweiter Blattaustrieb im Jahr, erkennbar an der frischen, zum Teil rötlichen Farbe                                                                                                                      ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         132;Stiel-Eiche                                                                     ;        31;herbstliche Blattverfärbung             ;das Laub des Beobachtungsbaumes hat sich etwa zur Hälfte herbstlich verfärbt                                                                                                                            ;            94;Kennziffer wurde ergänzend definiert, sie entspricht den BBCH-Richtlinien (bitte bei Veröffentlichungen beachten)                                               ;eor;                                                                                                                                                                                                                                                                                 
         132;Stiel-Eiche                                                                     ;        62;erste reife Früchte                     ;die ersten ausgereiften Eicheln mit den charakteristischen Längsstreifen liegen am Boden                                                                                                                ;            86;Kennziffer wurde ergänzend definiert, sie entspricht den BBCH-Richtlinien (bitte bei Veröffentlichungen beachten)                                               ;eor;                                                                                                                                                                                                                                                                                 
         132;Stiel-Eiche                                                                     ;         4;Blattentfaltung Beginn                  ;die ersten Blätter haben sich vollständig entfaltet                                                                                                                                                     ;            11;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
